RecordingTimestamp	FixationIndex	GazeEventDuration(mS)	GazePointIndex	GazePointX(px)	GazePointY(px)
181332	479	393	54405	507	552
181726	480	430	54523	293	218
182156	481	573	54652	440	216
182729	482	380	54824	302	215
183109	483	227	54938	456	218
183335	484	437	55006	558	240
183772	485	483	55137	301	208
184255	486	470	55282	467	232
184725	487	787	55423	452	506
185512	488	390	55659	524	552
185902	489	480	55776	293	232
186382	490	553	55920	469	232
186935	491	340	56086	321	249
187275	492	500	56188	247	217
187775	493	550	56338	494	217
188325	494	957	56503	410	477
189281	495	393	56790	510	545
189675	496	420	56908	304	221
190095	497	170	57034	384	206
190265	498	623	57085	539	229
191198	499	250	57365	245	244
191448	500	90	57440	425	251
191538	501	627	57467	604	245
192164	502	2153	57655	289	269
194317	503	183	58301	346	284
194501	504	2936	58356	465	272
197437	505	367	59237	312	248
197804	506	253	59347	433	415
198057	507	153	59423	438	810
198210	508	253	59469	837	767
198464	509	163	59545	1217	739
198627	510	287	59594	1473	790
198914	511	160	59680	1481	800
199074	512	360	59728	1238	784
199434	513	483	59836	1389	770
199917	514	140	59981	1237	796
200057	515	247	60023	1263	783
200303	516	43	60097	787	799
200347	517	133	60110	403	834
200480	518	253	60150	419	547
200733	519	407	60226	528	200
201140	520	480	60348	353	196
201620	521	237	60492	395	211
201857	522	627	60563	552	231
202483	523	650	60751	329	220
203133	524	100	60946	354	210
203233	525	687	60976	540	231
203920	526	680	61182	300	190
204600	527	130	61386	192	176
204730	528	573	61425	409	207
205303	529	97	61597	547	265
205399	530	27	61626	524	108
205426	531	460	61634	534	275
206769	532	140	62037	450	243
206909	533	390	62079	561	280
207299	534	430	62196	644	303
207729	535	27	62325	715	311
207756	536	317	62333	650	243
208466	537	203	62546	499	158
208669	538	273	62607	549	207
208942	539	110	62689	612	340
209052	540	310	62722	561	375
209362	541	20	62815	681	335
209382	542	390	62821	668	331
209772	543	123	62938	592	352
209896	544	200	62975	684	374
210096	545	397	63035	666	226
211032	546	117	63316	587	199
211149	547	297	63351	690	219
211445	548	313	63440	535	211
211759	549	233	63534	579	260
211992	550	407	63604	682	257
212399	551	267	63726	568	258
212665	552	250	63806	566	270
212915	553	363	63881	641	260
213279	554	607	63990	564	252
213885	555	440	64172	515	305
214325	556	433	64304	657	345
214758	557	230	64434	559	268
214988	558	1170	64503	324	221
216158	559	30	64854	502	249
216188	560	317	64863	591	266
216505	561	417	64958	288	245
217805	562	193	65348	188	153
218341	563	470	65509	251	339
218811	564	320	65650	358	329
219131	565	317	65746	278	253
221928	566	427	66585	318	244
222354	567	230	66713	201	305
224031	568	367	67216	240	311
225211	569	173	67570	384	247
225384	570	270	67622	309	304
225654	571	257	67703	207	288
225910	572	43	67780	217	198
225954	573	23	67793	230	197
226850	574	20	68062	150	266
227250	575	160	68182	266	266
227410	576	170	68230	368	187
227580	577	150	68281	480	189
228600	578	577	68587	672	190
229177	579	290	68760	492	218
229467	580	30	68847	537	279
229600	581	377	68887	578	248
229977	582	563	69000	607	313
230540	583	560	69169	375	532
231100	584	253	69337	438	746
231353	585	620	69413	399	754
231973	586	533	69599	570	570
232506	587	250	69759	413	397
232756	588	563	69834	342	774
233320	589	397	70003	417	737
233716	590	550	70122	565	561
234266	591	280	70287	411	454
234546	592	830	70371	345	823
235376	593	310	70620	543	590
235686	594	447	70713	302	227
236133	595	103	70847	383	234
236236	596	310	70878	570	238
236546	597	23	70971	570	416
236569	598	150	70978	483	653
236719	599	493	71023	379	822
237212	600	20	71171	306	609
237232	601	360	71177	269	400
237592	602	170	71285	217	195
237762	603	520	71336	440	212
238282	604	520	71492	300	220
238802	605	393	71648	441	443
239196	606	517	71766	349	740
239712	607	623	71921	546	538
240335	608	523	72108	268	215
240859	609	393	72265	461	222
241252	610	33	72383	597	417
241285	611	127	72393	436	719
241412	612	830	72431	398	785
242242	613	457	72680	272	582
242699	614	440	72817	464	216
243139	615	520	72949	287	185
243659	616	1363	73105	404	440
245022	617	1010	73514	277	526
246032	618	213	73817	387	356
246245	619	970	73881	385	733
247215	620	20	74172	347	585
247235	621	320	74178	312	414
247555	622	840	74274	232	230
248395	623	20	74526	768	205
248415	624	83	74532	249	210
248498	625	647	74557	740	218
249145	626	607	74751	327	243
249751	627	137	74933	410	462
249888	628	837	74974	318	785
250725	629	217	75225	332	537
250941	630	333	75290	222	232
251274	631	753	75390	463	214
252028	632	403	75616	342	234
252431	633	590	75737	478	243
253021	634	440	75914	314	227
253461	635	20	76046	375	453
253481	636	283	76052	367	670
253764	637	997	76137	363	742
254761	638	387	76436	267	539
255147	639	23	76552	746	291
255171	640	173	76559	492	224
255344	641	557	76611	581	225
255901	642	23	76778	411	387
255924	643	590	76785	376	589
256514	644	193	76962	321	829
256707	645	657	77020	318	555
257364	646	27	77217	727	273
257390	647	180	77225	444	503
257570	648	437	77279	356	823
258007	649	530	77410	493	590
258537	650	423	77569	348	263
258960	651	580	77696	424	258
259540	652	40	77870	363	465
259600	653	490	77888	378	782
260090	654	63	78035	320	544
260153	655	287	78054	283	287
260440	656	323	78140	438	264
260763	657	307	78237	565	256
261070	658	403	78329	410	437
261473	659	160	78450	400	750
261633	660	313	78498	510	456
261947	661	307	78592	340	242
262253	662	437	78684	819	306
262690	663	343	78815	639	237
263033	664	43	78918	471	586
263076	665	27	78931	413	773
263103	666	887	78939	413	783
263990	667	90	79205	452	697
264080	668	63	79232	641	479
264143	669	440	79251	572	270
264583	670	73	79383	351	260
264656	671	20	79405	292	249
264676	672	50	79411	290	256
264726	673	533	79426	280	251
265259	674	50	79586	419	530
265310	675	80	79601	435	844
265389	676	87	79625	380	821
265496	677	420	79657	386	795
265936	678	267	79789	385	816
266203	679	67	79869	308	554
266269	680	20	79889	286	233
266289	681	47	79895	270	237
266336	682	167	79909	263	228
266503	683	20	79959	779	250
266523	684	37	79965	294	288
266559	685	43	79976	271	235
266603	686	20	79989	744	275
266623	687	33	79995	269	234
266656	688	507	80005	500	232
267163	689	137	80157	758	244
267299	690	837	80198	1138	257
268136	691	553	80449	793	244
268689	692	110	80615	699	250
268799	693	340	80648	1069	261
269139	694	277	80750	1172	255
269416	695	353	80833	786	254
269769	696	23	80939	330	244
269792	697	67	80946	301	254
269859	698	67	80966	270	249
269926	699	43	80986	267	250
269969	700	213	80999	277	247
270182	701	467	81063	501	250
270649	702	97	81203	603	247
270745	703	803	81232	993	243
271549	704	337	81473	820	237
271885	705	420	81574	411	243
272305	706	350	81700	510	255
272655	707	187	81805	863	254
272842	708	510	81861	1215	256
273352	709	400	82014	803	236
273752	710	323	82134	331	251
274075	711	443	82231	737	341
274518	712	313	82364	896	223
274832	713	463	82458	1209	241
275295	714	450	82597	830	255
275745	715	463	82732	929	271
276208	716	43	82871	794	248
276252	717	240	82884	533	245
276492	718	110	82956	349	259
276601	719	20	82989	770	305
276622	720	237	82995	277	248
276858	721	40	83066	474	248
276898	722	20	83078	525	244
276918	723	467	83084	512	244
277385	724	137	83224	344	265
277521	725	20	83265	239	211
277541	726	20	83271	279	303
277561	727	160	83277	265	257
277721	728	220	83325	453	527
277941	729	250	83391	430	866
278191	730	383	83466	524	541
278575	731	310	83581	337	231
278885	732	20	83674	526	279
278905	733	153	83680	482	284
279058	734	260	83726	709	284
279318	735	173	83804	562	248
279491	736	287	83856	275	242
279778	737	33	83942	399	476
279811	738	463	83952	415	785
280274	739	43	84091	524	580
280318	740	197	84104	508	260
280514	741	20	84163	1074	409
280534	742	260	84169	506	258
280794	743	20	84247	1121	448
280814	744	727	84253	523	249
